Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
122,Rwanda,"26,141",,344,,"24,764",,"1,033",2,"1,976",26,"1,371,636","103,672","13,230,555",Africa,506,"38,461",10,,,78
123,Gabon,"23,799",,143,,"20,379",,"3,277",15,"10,478",63,"767,445","337,891","2,271,282",Africa,95,"15,883",3,,,"1,443"
124,Syria,"23,738",,"1,698",,"20,780",,"1,260",,"1,328",95,"103,566","5,796","17,869,274",Asia,753,"10,524",173,,,71
125,Guinea,"22,746",,151,,"20,366",,"2,229",24,"1,692",11,"445,243","33,125","13,441,345",Africa,591,"89,016",30,,,166
126,Réunion,"22,644",,169,,"21,603",,872,36,"25,135",188,"102,720","114,021","900,885",Africa,40,"5,331",9,,,968
127,Cambodia,"22,544",+360,154,+4,"13,006",+886,"9,384",,"1,332",9,"1,079,873","63,821","16,920,328",Asia,751,"109,872",16,21,0.2,555
128,French Guiana,"21,465",,108,,"9,995",,"11,362",28,"70,287",354,"234,758","768,713","305,391",South America,14,"2,828",1,,,"37,205"
129,Mayotte,"20,176",,171,,"2,964",,"17,041",6,"72,439",614,"176,919","635,204","278,523",Africa,14,"1,629",2,,,"61,183"
130,Mauritania,"18,828",,457,,"18,090",,281,14,"3,959",96,"249,519","52,469","4,755,551",Africa,253,"10,406",19,,,59
131,French Polynesia,"18,815",,141,,"18,650",,24,1,"66,643",499,"26,355","93,350","282,325",Australia/Oceania,15,"2,002",11,,,85
132,Eswatini,"18,520",,672,,"17,800",,48,3,"15,821",574,"199,225","170,186","1,170,630",Africa,63,"1,742",6,,,41
133,Trinidad and Tobago,"16,255",,285,,"10,208",,"5,762",15,"11,582",203,"153,053","109,055","1,403,445",North America,86,"4,924",9,,,"4,106"
134,Guadeloupe,"16,017",,221,,"2,242",,"13,554",33,"40,024",552,"195,404","488,285","400,184",North America,25,"1,811",2,,,"33,869"
135,Guyana,"15,271",,341,,"12,967",,"1,963",14,"19,334",432,"137,081","173,550","789,864",South America,52,"2,316",6,,,"2,485"
136,Somalia,"14,486",,753,,"6,325",,"7,408",,890,46,"120,132","7,380","16,277,182",Africa,"1,124","21,616",135,,,455
137,Mali,"14,190",,511,,"9,227",,"4,452",,684,25,"284,272","13,696","20,755,750",Africa,"1,463","40,618",73,,,214
138,Papua New Guinea,"13,707",,136,,"11,034",,"2,537",,"1,507",15,"110,286","12,127","9,094,256",Australia/Oceania,663,"66,870",82,,,279
139,Andorra,"13,510",,127,,"13,155",,228,12,"174,609","1,641","193,595","2,502,100","77,373",Europe,6,609,0,,,"2,947"
140,Burkina Faso,"13,397",,164,,"13,199",,34,,626,8,"184,102","8,603","21,399,698",Africa,"1,597","130,486",116,,,2
141,Haiti,"13,353",,271,,"12,414",,668,,"1,159",24,"60,085","5,214","11,523,564",North America,863,"42,522",192,,,58
143,Togo,"13,275",,125,,"11,897",,"1,253",,"1,572",15,"323,274","38,271","8,447,012",Africa,636,"67,576",26,,,148
144,Belize,"12,714",,323,,"12,337",,54,1,"31,478",800,"124,603","308,499","403,901",North America,32,"1,250",3,,,134
145,Curaçao,"12,254",,120,,"12,069",,65,18,"74,411",729,"103,551","628,805","164,679",North America,13,"1,372",2,,,395
146,Suriname,"11,950",,228,,"10,237",,"1,485",30,"20,213",386,"55,763","94,319","591,214",South America,49,"2,593",11,,,"2,512"
147,Hong Kong,"11,826",+1,210,,"11,531",+6,85,2,"1,566",28,"14,841,321","1,965,735","7,550,012",Asia,638,"35,952",1,0.1,,11
148,Martinique,"11,736",,90,,98,,"11,548",24,"31,295",240,"170,302","454,125","375,011",North America,32,"4,167",2,,,"30,794"
149,Djibouti,"11,434",,151,,"11,266",,17,,"11,428",151,"154,011","153,934","1,000,501",Africa,88,"6,626",6,,,17
